time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance
1200,-95.2,4381.0,,,,,,,,,,,,,,,
2400,-115.8,4500.0,,,,,,,,,,,,,,,
3600,-184.6,4378.6,,,,,,,,,,,,,,,
4800,-168.4,4476.2,,,,,,,,,,,,,,,
6000,-167.8,4475.6,,,,,,,,,,,,,,,
7200,-252.2,3803.4,,,,,,,,,,,,,,,
8400,-119.6,4342.4,,,,,,,,,,,,,,,
9600,-118.2,4395.4,,,,,,,,,,,,,,,
10800,-205.2,4310.6,,,,,,,,,,,,,,,
12000,-197.8,4249.0,,,,,,,,,,,,,,,
13200,-70.4,4500.0,,,,,,,,,,,,,,,
14400,-171.0,3989.6,,,,,,,,,,,,,,,
15600,-183.4,4135.0,,,,,,,,,,,,,,,
16800,-170.4,4340.6,,,,,,,,,,,,,,,
18000,-123.2,4500.0,,,,,,,,,,,,,,,
19200,-206.0,4087.8,,,,,,,,,,,,,,,
20400,-148.8,4348.2,,,,,,,,,,,,,,,
21600,-71.0,4500.0,,,,,,,,,,,,,,,
22800,-115.0,4233.0,,,,,,,,,,,,,,,
24000,-211.4,4348.0,,,,,,,,,,,,,,,
24576,,,-135.0,4463.666666666667,94,261,1,,,,,,,,,,
1200,-179.4,4490.2,,,,,,0.018782808,0.23995423229644075,-0.07065553218126297,4,-8.30606558918953,0.2415059471704808,-0.046753230441443826,0.2,0.00025,-0.02369821071624756
2400,-110.6,4500.0,,,,,,,,,,,,,,,
3600,-100.2,4500.0,,,,,,,,,,,,,,,
4800,-150.8,4436.2,,,,,,,,,,,,,,,
6000,-199.6,4464.2,,,,,,,,,,,,,,,
7200,-121.8,4500.0,,,,,,,,,,,,,,,
8400,-215.0,4457.8,,,,,,,,,,,,,,,
9600,-188.2,4261.4,,,,,,,,,,,,,,,
10800,-178.6,4482.4,,,,,,,,,,,,,,,
12000,-163.6,4447.8,,,,,,,,,,,,,,,
13200,-152.4,4435.0,,,,,,,,,,,,,,,
14400,-171.2,4453.0,,,,,,,,,,,,,,,
15600,-213.8,4500.0,,,,,,,,,,,,,,,
16800,-169.0,4500.0,,,,,,,,,,,,,,,
18000,-198.8,4500.0,,,,,,,,,,,,,,,
19200,-162.4,4407.0,,,,,,,,,,,,,,,
20400,-112.4,4500.0,,,,,,,,,,,,,,,
21600,-277.6,4447.6,,,,,,,,,,,,,,,
22800,-179.2,4483.6,,,,,,,,,,,,,,,
24000,-267.8,4426.8,,,,,,,,,,,,,,,
24576,,,,,96,255,1,,,,,,,,,,
