#{"t_start": 1713113501.3621404, "env_id": "None"}
r,l,t
-184.0,4500,26.15695
-242.0,3994,42.470416
-190.0,4500,60.659301
-71.0,4500,78.518097
-328.0,3375,101.116103
-266.0,4500,121.361176
-242.0,4500,138.442281
-250.0,4500,156.647112
8.0,4500,181.56621
-67.0,4500,199.009889
-32.0,4500,215.970641
78.0,4500,232.980036
-2.0,4500,258.718408
-222.0,4439,275.814909
-95.0,4500,293.505633
-76.0,4500,310.758449
81.0,4500,336.001768
5.0,4500,352.590869
2.0,4500,370.90447
-72.0,4500,389.031962
21.0,4500,413.258524
-78.0,4500,430.563392
-2.0,4500,447.797298
-18.0,4500,465.738603
196.0,4500,491.464222
9.0,4500,509.211302
-116.0,4500,527.012935
-183.0,4500,543.373495
-119.0,4500,568.755771
-42.0,4500,585.637627
269.0,3502,600.537187
-114.0,4500,620.023753
43.0,4500,644.607047
71.0,4500,662.706886
10.0,4500,681.147988
192.0,3891,696.243323
