time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
6000,-8.2,4500.0,,,,,,,,,,,,,,,
12000,-33.4,4500.0,,,,,,,,,,,,,,,
18000,-45.0,4462.6,,,,,,,,,,,,,,,
24000,-60.4,4500.0,,,,,,,,,,,,,,,
24576,,,1,335,73,,,,,,,,,,,,
30000,-230.6,4354.6,,,,0.31782252760604024,-8.305715050548315,0.24848430015936174,0.028623759746551514,4,0.019043725,0.00025,-0.04207220468615821,-0.04475624859333038,0.2,,
36000,-247.2,4410.4,,,,,,,,,,,,,,,
42000,-254.8,4241.2,,,,,,,,,,,,,,,
48000,-295.6,3912.8,,,,,,,,,,,,,,,
49152,,,2,323,152,,,,,,,,,,,,
54000,-31.4,4500.0,,,,0.23468542407499626,-8.292143747210503,0.33539836608815676,0.05935186147689819,8,0.033587866,0.00025,-0.070011518744766,-0.12515398859977722,0.2,,
60000,-46.2,4391.2,,,,,,,,,,,,,,,
66000,-73.0,4426.6,,,,,,,,,,,,,,,
72000,17.8,4500.0,,,,,,,,,,,,,,,
73728,,,3,322,228,,,,,,,,,,,,
78000,-170.4,4164.2,,,,0.21634575771167874,-8.275526441633701,0.4052327602175865,-0.005457639694213867,12,0.04526204,0.00025,-0.08256936652870195,-0.14709895849227905,0.2,,
84000,-195.6,4418.4,,,,,,,,,,,,,,,
90000,-7.8,4500.0,,,,,,,,,,,,,,,
96000,-34.6,4500.0,,,,,,,,,,,,,,,
98304,,,4,320,307,,,,,,,,,,,,
102000,-98.2,4493.8,,,,0.1997112455428578,-8.255269333720207,0.4520975866644221,-0.020679593086242676,16,0.055503104,0.00025,-0.08946956668463218,-0.16201812028884888,0.2,,
108000,-119.0,4415.6,,,,,,,,,,,,,,,
114000,-43.8,4437.0,,,,,,,,,,,,,,,
120000,-87.8,4339.8,,,,,,,,,,,,,,,
122880,,,5,318,386,,,,,,,,,,,,
126000,-23.8,4500.0,,,,0.17622819117968902,-8.242436781525612,0.47271729851854616,0.025638043880462646,20,0.06018398,0.00025,-0.09464034581534042,-0.1672811061143875,0.2,,
132000,86.4,4445.4,,,,,,,,,,,,,,,
138000,0.4,4500.0,,,,,,,,,,,,,,,
144000,-128.2,4306.4,,,,,,,,,,,,,,,
147456,,,6,317,463,,,,,,,,,,,,
150000,-25.4,4500.0,,,,0.22034340069512837,-8.226565882563591,0.4269511038719429,-0.01653754711151123,24,0.060500868,0.00025,-0.0733960096112772,-0.13600260019302368,0.2,,
156000,-73.6,4384.0,,,,,,,,,,,,,,,
162000,-74.2,4500.0,,,,,,,,,,,,,,,
168000,-25.4,4500.0,,,,,,,,,,,,,,,
172032,,,7,317,542,,,,,,,,,,,,
174000,51.2,4263.6,,,,0.16852294580894522,-8.204235877841711,0.5136311987189401,-0.019451141357421875,28,0.073578686,0.00025,-0.09512348538038395,-0.18339510262012482,0.2,,
180000,-38.8,4500.0,,,,,,,,,,,,,,,
186000,-48.6,4500.0,,,,,,,,,,,,,,,
192000,-49.0,4495.4,,,,,,,,,,,,,,,
196608,,,8,317,619,,,,,,,,,,,,
198000,7.2,4494.2,,,,0.1956368421379011,-8.17966579273343,0.5032552212633163,0.06858974695205688,32,0.07793184,0.00025,-0.08936394018841537,-0.15356144309043884,0.2,,
204000,86.2,4209.0,,,,,,,,,,,,,,,
210000,-14.4,4487.0,,,,,,,,,,,,,,,
216000,47.6,4171.0,,,,,,,,,,,,,,,
221184,,,9,316,697,,,,,,,,,,,3421.0,186.0
6000,-78.2,4486.6,,,,0.16030767711345106,-8.16742355003953,0.5407918444143434,-0.014059782028198242,36,0.08728011,0.00025,-0.09736473452365624,-0.1929781138896942,0.2,,
12000,-129.2,4485.6,,,,,,,,,,,,,,,
18000,-93.6,4383.8,,,,,,,,,,,,,,,
24000,-53.0,4500.0,,,,,,,,,,,,,,,
24576,,,1,332,73,,,,,,,,,,,,
